annotator,metaphor,familiarity,meaningfulness,body relatedness
rater_1,Quell'alito è una fogna,6,5,4
rater_1,Quell'uragano è un carrarmato,7,6,5
rater_1,Quella borsa è un macigno,5,4,2
rater_1,Quella città è una giungla,3,3,2
rater_1,Quelle guance sono pesche,7,4,6
rater_1,Quel bacio è un peperoncino,6,5,4
rater_1,Quella bocca è una fragola,6,5,3
rater_1,Quella locomotiva è un drago,4,2,1
rater_1,Quella ruga è un burrone,3,2,1
rater_1,Quel vestito è una tenda,4,2,2
rater_1,Quel lago è un cristallo,2,4,1
rater_1,Quel sorriso è una stella,7,6,6
rater_1,Quella pelle è una porcellana,5,4,2
rater_1,Quel prato è un velluto,6,3,5
rater_1,Quel mento è un precipizio,3,2,1
rater_1,Quel viso è una seta,6,5,5
rater_1,Quella nebbia è un muro,6,4,3
